date,open,high,low,close,volume
2025-09-16,25073.6,25261.4,25070.5,25239.1,0.0
2025-09-17,25276.6,25346.5,25275.3,25330.2,0.0
2025-09-18,25441.0,25449.0,25329.8,25423.6,0.0
2025-09-19,25410.2,25428.8,25286.3,25327.0,0.0
2025-09-22,25238.1,25331.7,25151.0,25202.3,0.0
2025-09-23,25209.0,25261.9,25084.7,25169.5,0.0
2025-09-24,25108.8,25149.8,25027.5,25056.9,0.0
2025-09-25,25034.5,25092.7,24878.3,24890.8,0.0
2025-09-26,24818.5,24868.6,24629.5,24654.7,0.0
2025-09-29,24728.5,24791.3,24606.2,24634.9,0.0
2025-09-30,24692.0,24731.8,24587.7,24611.1,0.0
2025-10-01,24620.5,24868.0,24606.0,24836.3,0.0
2025-10-03,24759.5,24904.8,24747.5,24894.2,0.0
2025-10-06,24916.5,25096.0,24881.7,25077.7,0.0
2025-10-07,25085.3,25220.9,25076.3,25108.3,0.0
2025-10-08,25079.8,25192.5,25008.5,25046.2,0.0
2025-10-09,25074.3,25199.2,25024.3,25181.8,0.0
2025-10-10,25167.7,25330.8,25156.8,25285.3,0.0
2025-10-13,25177.3,25267.3,25152.3,25227.3,0.0
2025-10-14,25277.5,25310.3,25060.5,25145.5,0.0
2025-10-15,25182.0,25365.2,25159.3,25323.5,0.0
2025-10-16,25394.9,25625.4,25376.8,25585.3,0.0
2025-10-17,25546.8,25781.5,25508.6,25709.8,0.0
2025-10-20,25824.6,25926.2,25788.5,25843.2,0.0
2025-10-21,25901.2,25934.3,25825.8,25868.6,0.0
2025-10-23,26057.2,26104.2,25862.5,25891.4,0.0
2025-10-24,25935.1,25944.2,25718.2,25795.2,0.0
2025-10-27,25843.2,26006.0,25827.0,25966.0,0.0
2025-10-28,25940.0,26041.7,25810.0,25936.2,0.0
2025-10-29,25982.0,26097.8,25960.3,26053.9,0.0
2025-10-30,25984.4,26032.0,25845.2,25877.8,0.0
2025-10-31,25863.8,25953.8,25711.2,25722.1,0.0
2025-11-03,25696.8,25803.1,25645.5,25763.3,0.0
2025-11-04,25744.8,25787.4,25578.4,25597.7,0.0
2025-11-06,25593.3,25679.2,25491.5,25509.7,0.0
2025-11-07,25433.8,25551.2,25318.5,25492.3,0.0
2025-11-10,25503.5,25653.5,25503.5,25574.3,0.0
2025-11-11,25617.0,25715.8,25449.2,25695.0,0.0
2025-11-12,25834.3,25934.5,25781.2,25875.8,0.0
2025-11-13,25906.1,26010.7,25808.4,25879.2,0.0
2025-11-14,25767.9,25940.2,25740.8,25910.0,0.0
2025-11-17,25948.2,26024.2,25906.3,26013.5,0.0
2025-11-18,26021.8,26029.8,25876.5,25910.0,0.0
2025-11-19,25918.1,26074.7,25856.2,26052.7,0.0
2025-11-20,26132.1,26246.7,26063.2,26192.2,0.0
2025-11-21,26109.5,26179.2,26052.2,26068.2,0.0
2025-11-24,26122.8,26142.8,25912.2,25959.5,0.0
2025-11-25,25998.5,26032.6,25857.5,25884.8,0.0
2025-11-26,25843.0,26215.2,25843.0,26205.3,0.0
2025-11-27,26261.2,26310.5,26141.9,26215.5,0.0
2025-11-28,26237.5,26280.8,26172.4,26203.0,0.0
2025-12-01,26325.8,26325.8,26124.2,26175.8,0.0
2025-12-02,26088.0,26154.6,25997.8,26032.2,0.0
2025-12-03,26004.9,26066.5,25891.0,25986.0,0.0
2025-12-04,25981.8,26098.2,25939.0,26033.8,0.0
2025-12-05,25999.8,26202.6,25985.3,26186.5,0.0
2025-12-08,26159.8,26178.7,25892.2,25960.5,0.0
2025-12-09,25867.1,25923.7,25728.0,25839.7,0.0
2025-12-10,25864.0,25947.7,25734.5,25758.0,0.0
2025-12-11,25771.4,25922.8,25693.2,25898.5,0.0
2025-12-12,25971.2,26057.6,25938.5,26047.0,0.0
2025-12-15,25930.0,26047.2,25904.8,26027.3,0.0
2025-12-16,25951.5,25980.8,25834.3,25860.1,0.0
2025-12-17,25902.4,25929.2,25770.3,25818.5,0.0
2025-12-18,25764.7,25902.3,25726.3,25815.5,0.0
2025-12-19,25911.5,25993.3,25880.5,25966.4,0.0
2025-12-22,26055.8,26180.7,26047.8,26172.4,0.0
2025-12-23,26205.2,26233.5,26119.0,26177.2,0.0
2025-12-24,26170.7,26236.4,26123.0,26142.1,0.0
2025-12-26,26121.2,26144.2,26008.6,26042.3,0.0
2025-12-29,26063.3,26106.8,25920.3,25942.1,0.0
2025-12-30,25940.9,25976.8,25878.0,25938.8,0.0
2025-12-31,25971.0,26188.0,25969.0,26129.6,0.0
2026-01-01,26173.3,26197.5,26113.4,26146.5,0.0
